                                                   Dataset  N_cases  N_controls  LAMBDA-GC   N-SNPs  N_eff_half
0                  mdd_MDD49.eur.hg19.29w2_20w3_1504.qc.gz    28147       48033      1.107  7450733       35494
1                   mdd_23andMe.eur.hg19.v7_2_202012.qc.gz   112892     1773938      1.642  5913207      212274
2             mdd_deCODE.eur.hg19.DEPALL_FINAL_WHEAD.qc.gz    20000       28000      1.072  7205781       23333
3                         mdd_GenScot.eur.hg19.1215a.qc.gz      997        6358      1.014  6371035        1723
4                       mdd_GERA.eur.hg19.0915a_mds5.qc.gz     7162       38307      1.021  7299510       12067
5                    mdd_UKBB.eur.hg19.MD_glm_202012.qc.gz    41500      319630      1.171  7391111       73461
6                       mdd_iPSYCH.eur.hg19.2012_HRC.qc.gz    19156       22708      1.110  7293585       20781
7                      mdd_iPSYCH.eur.hg19.2015i_HRC.qc.gz    10002       15434      1.046  7410093       12137
8                   mdd_FinnGen.eur.hg19.R5_18032020.qc.gz    23424      192220      1.126  7442456       41759
9                       mdd_ALSPAC.eur.hg19.27022020.qc.gz      472        3475      1.014  5435936         831
10                         mdd_Airwave.eur.hg19.0820.qc.gz     2100       15713      0.993  7471885        3704
11                             mdd_PBK.eur.hg19.2020.qc.gz     5607       16080      1.006  7291714        8314
12                          mdd_ESTBB.eur.hg19.EstBB.qc.gz    35473       91301      1.005  7439500       51094
13                       mdd_MoBa.eur.hg19.harvest12.qc.gz      603       10213      1.020  5414640        1138
14                       mdd_MoBa.eur.hg19.harvest24.qc.gz      367        6122      0.994  4821243         692
15                      mdd_MoBa.eur.hg19.rotterdam1.qc.gz      553        8860      1.016  5324834        1041
16  mdd_HUNT.eur.hg19.gp_hospital_metacarpa_20190625.qc.gz    11658       42535      1.120  7567197       18300
17                    mdd_STAGE.eur.hg19.MDDdx_saige.qc.gz      421        9134      1.007  5108695         804
18                         mdd_PREFECT.eur.hg19.run1.qc.gz     1796        3290      1.025  7330540        2323
19                          mdd_AGDS.eur.hg19.202012.qc.gz    12123       12684      1.071  7450511       12397
20                         mdd_lgic2.eur.hg19.202011.qc.gz      906        4717      1.012  6420218        1520
21                         mdd_BASIC.eur.hg19.202011.qc.gz     1003        1854      1.005  6563875        1301
22             mdd_BioVU.eur.hg19.NoCov_SAIGE_051821.qc.gz     7757       24723      0.978  5687982       11808
23                        mdd_EXCEED.eur.hg19.202010.qc.gz      580        2071      1.001  5800397         906
24                 mdd_MVP.eur.hg19.4_0ICDdep_202106.qc.gz   151974      226640      1.250  5210229      181944
25                           mdd_tkda1.eur.hg19.run1.qc.gz      672         846      1.001  5970425         749
26                     mdd_DBDS.eur.hg19.FINAL202103.qc.gz    13347      145996      1.128  6522922       24458
27            mdd_SHARE.eur.hg19.godartsshare_842021.qc.gz     1063        1921      0.840  6371919        1368
28                                                     SUM   511755     3072803      1.831  8419000      757735

