                                          Dataset  N_cases  N_controls  LAMBDA-GC   N-SNPs  N_eff_half
          mdd_MDD49.eur.hg19.29w2_20w3_X28w2_19w3    28147       48033      1.107  7449411       35494
                 mdd_23andMe.eur.hg19.v7_2_202012   112892     1773938      1.578  7538599      212274
           mdd_deCODE.eur.hg19.DEPALL_FINAL_WHEAD    20000       28000      1.073  7945098       23333
                  mdd_GenScot.eur.hg19.SCID_0721a      930        5730      1.008  7377132        1600
                     mdd_GERA.eur.hg19.0915a_mds5     7162       38307      1.020  7661657       12067
                  mdd_UKBB.eur.hg19.MD_glm_202107    54669      306461      1.183  9324959       92786
                     mdd_iPSYCH.eur.hg19.2012_HRC    19156       22708      1.110  7293996       20781
                    mdd_iPSYCH.eur.hg19.2015i_HRC    10002       15434      1.046  7409817       12137
                 mdd_FinnGen.eur.hg19.R5_18032020    23424      192220      1.125  8029444       41759
                     mdd_ALSPAC.eur.hg19.27022020      472        3475      1.008  8207408         831
                        mdd_Airwave.eur.hg19.0820     2100       15713      0.993  7466312        3704
                            mdd_PBK.eur.hg19.2020     5607       16080      1.005  7283328        8314
                         mdd_ESTBB.eur.hg19.EstBB    35473       91301      1.005  8224529       51094
                      mdd_MoBa.eur.hg19.harvest12      603       10213      1.016  6487807        1138
                      mdd_MoBa.eur.hg19.harvest24      367        6122      0.996  6487756         692
                     mdd_MoBa.eur.hg19.rotterdam1      553        8860      1.009  6487204        1041
 mdd_HUNT.eur.hg19.gp_hospital_metacarpa_20190625    11658       42535      1.118  8273758       18300
                   mdd_STAGE.eur.hg19.MDDdx_saige      421        9134      1.005  7233057         804
                        mdd_PREFECT.eur.hg19.run1     1796        3290      1.030  7499763        2323
                         mdd_AGDS.eur.hg19.202012    12123       12684      1.071  7450668       12397
                        mdd_lgic2.eur.hg19.202011      906        4717      1.006  7524564        1520
                        mdd_BASIC.eur.hg19.202011     1003        1854      0.993  7503049        1301
            mdd_BioVU.eur.hg19.NoCov_SAIGE_051821     7757       24723      0.978  5687125       11808
                       mdd_EXCEED.eur.hg19.202010      580        2071      1.004  7552160         906
         mdd_MVP.eur.hg19.rel4icdDEP_Geno_202109C   151974      226640      1.244  7744133      181944
                          mdd_tkda1.eur.hg19.run1      672         846      1.017  7296894         749
                    mdd_DBDS.eur.hg19.FINAL202103    13347      145996      1.130  7057187       24458
           mdd_SHARE.eur.hg19.godartsshare_842021     1063        1921      0.838  7219497        1368
                                              SUM   524857     3059006      1.859  9622568      776935
