cohort	release	study_name	study_description	data_type	ancestry	phenotype	N_cases	N_controls
antpo	sa-qc4	ZNA, POSEIDON	ZNA (Ziekenhuisnetwerk Antwerpen). POSEIDON (Pre-, Peri-, and Postnatal Stress: Epigenetic impact on Depression)	genotype	EUR	Clin	237	338
bidi1	sr-qc2	BiDirect	BiDirect-Study (Establishing the bidirectional link between subclinical arteriosclerosis and depression)	genotype	EUR	Clin	756	460
boma	sr-qc	BOMA	Bonn–Mannheim	genotype	EUR	Clin	584	1064
cardm	sa-qc2	EPAD/CARD3	Early Prediction of Adolescent Depression (EPAD)	genotype	EUR	Clin	129	744
cof3	sr-qc	COFAMS	Cognition and Mood Study	genotype	EUR	Clin	120	126
col3	sr-qc	CoLaus¦PsyCoLaus	PsyCoLaus	genotype	EUR	Clin	508	1445
edi2	sr-qc	UEDIN	Edinburgh	genotype	EUR	Clin	372	285
emcbp	sa-qc3	EMC, BePS, BRIDGE-S	The Early Medication Change (EMC) - Trial. Berlin Psychosis Study (BePs). Berlin Research Initiative for Diagnostics, Genetics and Environmental Factors (BRIDGE-S)	genotype	EUR	Clin	579	788
formm	sa-qc2	FOR2107	FOR2107 consortium	genotype	EUR	Clin	821	669
gens	sr-qc	GenRED	Genetics of Recurrent Early-Onset Depression Phase I (GenRED1)	genotype	EUR	Clin	1018	1345
gep3	sr-qc	GENPOD/NewMeds	GENetic and clinical Predictors Of treatment response in Depression/NewMeds	genotype	EUR	Clin	481	2835
grdg	sr-qc	DGN	DepGenesNetwork	genotype	EUR	Clin	471	469
grnd	sr-qc	GenRED2	Genetics of Recurrent Early-Onset Depression Phase II (GenRED2)	genotype	EUR	Clin	830	472
gsk2	sr-qc	GSK, MPIP	GSK Max Planck Institute of Psychiatry (MPIP)	genotype	EUR	Clin	876	861
gsmse	sa-qc2	GSMS	Great Smoky Mountains Study	genotype	EUR	Clin	155	634
gsrdf	sa-qc3	GSRD, PsyDev controls	TRD3 European Group for the Study of Resistant Depression (GSRD). SCZ Krebs PychChip	genotype	EUR	Clin	305	408
gsrdg	sa-qc3	GSRD, Gawlik controls	TRD3 European Group for the Study of Resistant Depression (GSRD). SCZ  PychChip Gawlik	genotype	EUR	Clin	509	524
gsrdi	sa-qc2	GSRD, Serreti controls	TRD3 European Group for the Study of Resistant Depression (GSRD). SCZ  PychChip Serreti	genotype	EUR	Clin	125	216
gsrdp	sa-qc2	GSRD, Paschou controls	TRD3 European Group for the Study of Resistant Depression (GSRD). T2D PsychChip Paschou	genotype	EUR	Clin	87	318
i2b3	sr-qc	Harvard i2b2	Harvard i2b2 (i2b2-TRD)	genotype	EUR	Clin	807	1064
ihseu	sa-qc1	IHS	Intern Health Study	genotype	EUR	Clin	1906	3727
iruts	sa-qc4	USGRS, IRL-GRey, Smoller controls	Utah Suicide Genetic Research Study. IRL-GRey. Controls from Smoller BIP study	genotype	EUR	EHR	969	689
janpy	sa-qc3	Janssen	Janssen clinical trials NCT00044681, NCT01640080, and NCT01627782. NINDS Human Genetics Repository controls	genotype	EUR	Clin	709	791
mazdr	sa-qc2	GeneBaseMDD, Reif controls	GeneBaseMDD. German BIP Reif controls	genotype	EUR	Clin	191	1014
mmi2	sr-qc	MPIP MARS 650	Max Planck Institute of Psychiatry. Munich Antidepressant Response Signature 650	genotype	EUR	Clin	585	513
mmo4	sr-qc	MPIP MARS OMNIex	Max Planck Institute of Psychiatry. Munich Antidepressant Response Signature OMNIex	genotype	EUR	Clin	265	374
mrive	sa-qc2	PISMA-ep	Epidemiological Study on Mental Health in the Autonomous Community of Andalusia (PISMA-ep)	genotype	EUR	Clin	251	1193
muen2	sr-qc	MUENS	Münster	genotype	EUR	Clin	885	792
muspc	sa-qc1	MUSPC	Mater University Study of Pregnancy	genotype	EUR	Clin	263	973
nes1	sr-qc2	NESDA/NTR	The Netherlands Study of Depression and Anxiety (NESDA) / The Netherlands Twin Register (NTR)	genotype	EUR	Clin	1491	1602
pfm2	sr-qc2	Pfizer	Pfizer clinical trials A050R-0552, A1650112, A1651002, A1651008, A2721002, A2721008, M20200046, M20200047	genotype	EUR	Clin	281	820
prote	sa-qc2	PROTECT	Platform for Research Online to Investigate Genetics and Cognition in Aging	genotype	EUR	Quest	2199	5989
