Dataset	N_cases	N_controls	LAMBDA-GC	N-SNPs	N_eff_half	
mdd_cof3_eur_sr-qc.hg19	120	126	0.991	7342329	122	
mdd_gsrdp_eur_sa-qc2.hg19	87	318	1.05	6976571	136	
mdd_roc3_eur_sr-qc.hg19	273	92	1.002	7263739	137	
mdd_gsrdi_eur_sa-qc2.hg19	125	216	1.049	7008154	158	
mdd_rai2_eur_sr-qc.hg19	109	340	1.009	7477283	165	
mdd_rde4_eur_sr-qc2.hg19	133	516	1.019	7496751	211	
mdd_cardm_eur_sa-qc2.hg19	129	744	1.041	7423228	219	
mdd_shpt_eur_sr-qc.hg19	163	486	0.994	7638271	244	
mdd_gsmse_eur_sa-qc2.hg19	155	634	1.003	7529401	249	
mdd_rage_eur_sr-qc.hg19	324	226	0.997	7400082	266	
mdd_antpo_eur_sa-qc4.hg19	237	338	1.068	7501483	278	
mdd_rau2_eur_sr-qc.hg19	222	375	0.977	7535269	278	
mdd_mmo4_eur_sr-qc.hg19	265	374	0.998	7503809	310	
mdd_mazdr_eur_sa-qc2.hg19	191	1014	1.017	7338839	321	
mdd_edi2_eur_sr-qc.hg19	372	285	1.01	7408252	322	
mdd_trail_eur_sa-qc2.hg19	200	1118	1.009	7482508	339	
mdd_gsrdf_eur_sa-qc3.hg19	305	408	0.997	7240375	349	
mdd_topmd_eur_sa-qc2.hg19	218	1141	1.019	7624424	366	
mdd_rot4_eur_sr-qc.hg19	240	1029	0.991	7586533	389	
mdd_muspc_eur_sa-qc1.hg19	263	973	1.008	7536604	414	
mdd_mrive_eur_sa-qc2.hg19	251	1193	1.007	7344351	414	
mdd_pfm2_eur_sr-qc2.hg19	281	820	1.003	7477782	418	
mdd_grdg_eur_sr-qc.hg19	471	469	0.99	7548316	469	
mdd_yapeu_eur_sa-qc1.hg19	318	1267	1.008	7594053	508	
mdd_gsrdg_eur_sa-qc3.hg19	509	524	1.009	7363918	516	
mdd_qi6c_eur_sr-qc.hg19	499	590	0.993	7522212	540	
mdd_qio2_eur_sr-qc.hg19	565	525	0.995	7392497	544	
mdd_mmi2_eur_sr-qc.hg19	585	513	0.997	7359381	546	
mdd_shp0_eur_sr-qc.hg19	365	1086	1.01	7516154	546	
mdd_bidi1_eur_sr-qc2.hg19	756	460	0.993	7439781	571	
mdd_grnd_eur_sr-qc.hg19	830	472	1.005	7541885	601	
mdd_emcbp_eur_sa-qc3.hg19	579	788	0.998	7538500	667	
mdd_qi3c_eur_sr-qc.hg19	864	579	0.985	7440984	693	
mdd_formm_eur_sa-qc2.hg19	821	669	0.983	7451398	737	
mdd_col3_eur_sr-qc.hg19	508	1445	0.997	6976654	751	
mdd_boma_eur_sr-qc.hg19	584	1064	1.027	7538516	754	
mdd_iruts_eur_sa-qc4.hg19	969	689	0.99	7363528	805	
mdd_gep3_eur_sr-qc.hg19	481	2835	1.034	7605244	822	
mdd_muen2_eur_sr-qc.hg19	885	792	0.995	7451769	835	
mdd_gsk2_eur_sr-qc.hg19	876	861	0.998	7515687	868	
mdd_i2b3_eur_sr-qc.hg19	807	1064	1.002	7600674	917	
mdd_stm2_eur_sr-qc.hg19	935	933	1.007	7070701	933	
mdd_gens_eur_sr-qc.hg19	1018	1345	1.01	7540854	1158	
mdd_nes1_eur_sr-qc2.hg19	1491	1602	1.015	7495104	1544	
mdd_twg2_eur_sr-qc.hg19	1097	2663	1.011	7646181	1553	
mdd_rad3_eur_sr-qc.hg19	1857	1525	1.017	7596150	1674	
mdd_ihseu_eur_sa-qc1.hg19	1906	3727	0.997	7583924	2522	
mdd_prote_eur_sa-qc2.hg19	2199	5989	0.996	7657753	3216	
SUM	27438	47242	1.101	7616350	31419	
