p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	id	trait	subcategory	note	category	consortium	priority	author	year	unit	mr	sample_size	nsnp	population	sex	pmid	ontology	build	group_name	ncase	ncontrol	sd	doi
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST006979.hm3.sumstats.gz	-0.054	0.0129	-4.1761	2.966e-5	0.2989	0.0257	1.2037	0.0596	0.0204	0.0098	ebi-a-GCST006979	Heel bone mineral density	NA	NA	NA	NA	0	Morris JA	2019	NA	1	426824	13705641	European	NA	30598549	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-d-30210_irnt.hm3.sumstats.gz	-0.0206	0.0164	-1.259	0.208	0.1888	0.0221	1.1095	0.0611	0.011	0.0097	ukb-d-30210_irnt	Eosinophill percentage	NA	NA	Continuous	NA	0	Neale lab	2018	NA	1	349861	13586283	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-8875.hm3.sumstats.gz	-0.048	0.0134	-3.5786	3e-4	0.3026	0.0279	1.1297	0.0421	0.0171	0.0093	ukb-b-8875	Heel bone mineral density (BMD)	NA	3148: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	265627	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-20124.hm3.sumstats.gz	-0.0488	0.0135	-3.6242	3e-4	0.3013	0.0279	1.1289	0.0424	0.0175	0.0094	ukb-b-20124	Heel bone mineral density (BMD) T-score, automated	NA	78: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	265753	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-19234.hm3.sumstats.gz	-0.0488	0.0135	-3.6246	3e-4	0.3013	0.0279	1.1289	0.0424	0.0175	0.0094	ukb-b-19234	Heel quantitative ultrasound index (QUI), direct entry	NA	3147: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	265753	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-15851.hm3.sumstats.gz	-0.0313	0.0139	-2.2503	0.0244	0.2751	0.0253	1.1002	0.039	0.0175	0.0092	ukb-b-15851	Heel Broadband ultrasound attenuation, direct entry	NA	3144: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	265737	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST004600.hm3.sumstats.gz	-0.053900000000000003	0.0194	-2.7869	0.0053	0.1786	0.0224	0.9556	0.0323	0.015	0.0086	ebi-a-GCST004600	Eosinophil percentage of white cells	NA	NA	NA	NA	0	Astle WJ	2016	NA	1	172378	29167233	European	NA	27863252	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-11497.hm3.sumstats.gz	0.1417	0.0219	6.4788	9.2448e-11	0.0378	0.0036	1.0858	0.0177	-0.0065	0.0081	ukb-b-11497	Operation code: tonsillectomy +/- adenoids	NA	20004#1478: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	462933	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	72111	390822	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-18200.hm3.sumstats.gz	-0.1896	0.0184	-10.3081	6.477200000000001e-25	0.075	0.0065	1.0543	0.0243	-0.0118	0.0084	ukb-b-18200	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above	NA	6152#100: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	462013	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	314035	147978	NA	NA
results/ldsc/munged/pgc_mdd_noUKBB_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST006288.hm3.sumstats.gz	-0.0647	0.0146	-4.4371	9.1197e-6	0.3821	0.0432	1.0693	0.0344	0.0215	0.0086	ebi-a-GCST006288	Heel bone mineral density	NA	NA	NA	NA	0	Kemp JP	2017	NA	1	142487	16959184	European	NA	28869591	NA	HG19/GRCh37	public	NA	NA	NA	NA
