p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	id	trait	subcategory	note	category	consortium	priority	author	year	unit	mr	sample_size	nsnp	population	sex	pmid	ontology	build	group_name	ncase	ncontrol	sd	doi
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST006979.hm3.sumstats.gz	-0.0515	0.0127	-4.0374	5.4038e-5	0.2972	0.026	1.2135	0.0609	0.0153	0.0102	ebi-a-GCST006979	Heel bone mineral density	NA	NA	NA	NA	0	Morris JA	2019	NA	1	426824	13705641	European	NA	30598549	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-d-30210_irnt.hm3.sumstats.gz	-0.0205	0.016	-1.2854	0.1986	0.1887	0.0221	1.1118	0.0629	0.0114	0.01	ukb-d-30210_irnt	Eosinophill percentage	NA	NA	Continuous	NA	0	Neale lab	2018	NA	1	349861	13586283	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-8875.hm3.sumstats.gz	-0.0462	0.0136	-3.3924	7e-4	0.3018	0.028	1.133	0.0436	0.0145	0.0097	ukb-b-8875	Heel bone mineral density (BMD)	NA	3148: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	265627	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-20124.hm3.sumstats.gz	-0.0471	0.0137	-3.4387	6e-4	0.3006	0.028	1.132	0.0438	0.0149	0.0097	ukb-b-20124	Heel bone mineral density (BMD) T-score, automated	NA	78: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	265753	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-19234.hm3.sumstats.gz	-0.0471	0.0137	-3.4392	6e-4	0.3006	0.028	1.132	0.0438	0.0149	0.0097	ukb-b-19234	Heel quantitative ultrasound index (QUI), direct entry	NA	3147: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	265753	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-15851.hm3.sumstats.gz	-0.0285	0.0141	-2.0152	0.0439	0.2742	0.0252	1.1041	0.0409	0.0174	0.0095	ukb-b-15851	Heel Broadband ultrasound attenuation, direct entry	NA	3144: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Continuous	MRC-IEU	1	Ben Elsworth	2018	SD	1	265737	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST004600.hm3.sumstats.gz	-0.0528	0.0189	-2.7883	0.0053	0.1778	0.0223	0.9583	0.0331	0.0124	0.0087	ebi-a-GCST004600	Eosinophil percentage of white cells	NA	NA	NA	NA	0	Astle WJ	2016	NA	1	172378	29167233	European	NA	27863252	NA	HG19/GRCh37	public	NA	NA	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-11497.hm3.sumstats.gz	0.1492	0.0219	6.8234	8.8914e-12	0.0379	0.0036	1.0855	0.017	-0.0148	0.0081	ukb-b-11497	Operation code: tonsillectomy +/- adenoids	NA	20004#1478: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	462933	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	72111	390822	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ukb-b-18200.hm3.sumstats.gz	-0.1997	0.0186	-10.7258	7.7033e-27	0.075	0.0065	1.0548	0.0242	-0.0291	0.0086	ukb-b-18200	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above	NA	6152#100: Output from GWAS pipeline using Phesant derived variables from UKBiobank	Binary	MRC-IEU	1	Ben Elsworth	2018	SD	1	462013	9851867	European	Males and Females	NA	NA	HG19/GRCh37	public	314035	147978	NA	NA
results/ldsc/munged/pgc_mdd_full_eur_hg19_v3.49.24.11.sumstats.gz	resources/open_gwas/datasets/ebi-a-GCST006288.hm3.sumstats.gz	-0.0592	0.015	-3.9485	7.8656e-5	0.38	0.0432	1.0736	0.0353	0.0163	0.0093	ebi-a-GCST006288	Heel bone mineral density	NA	NA	NA	NA	0	Kemp JP	2017	NA	1	142487	16959184	European	NA	28869591	NA	HG19/GRCh37	public	NA	NA	NA	NA
