cohort	release	h2_obs	h2_obs_se	lambdaGC	meanChisq	intercept	intercept_se
23andMe	[v7_2_202012]	0.0237	0.0008	1.7024	1.959	1.0301	0.013
AGDS	[202012]	0.1107	0.0214	1.0772	1.0812	1.0253	0.0071
Airwave	[0820]	0.0796	0.0283	1.0075	1.0149	0.9855	0.0081
ALSPAC	[27022020]	0.0451	0.1106	1.0075	1.0091	1.0053	0.0076
BASIC	[202011]	0.0208	0.1658	1.0016	0.9981	0.9968	0.0077
BioVU	[NoCov_SAIGE_051821]	0.0071	0.0283	1.0046	1.0039	0.9977	0.0183
DBDS	[FINAL202103]	0.0392	0.0041	1.1523	1.1357	1.0113	0.0074
deCODE	[DEPALL_FINAL_WHEAD]	0.0865	0.0101	1.0802	1.0802	0.9984	0.0073
ESTBB	[EstBB]	0.0042	0.0036	1.0135	1.0134	1.0029	0.0068
EXCEED	[202010]	0.0818	0.1677	0.9986	1.0066	1.0021	0.0069
FinnGen	[R5_18032020]	0.0219	0.003	1.1396	1.1479	1.0514	0.0076
GenScot	[1215a]	0.0875	0.0563	1.0075	1.0084	0.9959	0.0064
GERA	[0915a_mds5]	0.0415	0.0099	1.0225	1.033	0.9946	0.007
HUNT	[gp_hospital_metacarpa_20190625]	0.049	0.0103	1.1301	1.1319	1.0784	0.0078
iPSYCH	[2012_HRC]	0.1462	0.0151	1.1364	1.1545	1.0248	0.0097
iPSYCH	[2015i_HRC]	0.1135	0.0205	1.0557	1.0565	0.997	0.0077
lgic2	[202011]	0.1699	0.0854	1.0135	1.0194	0.9996	0.0072
MDD49	[29w2_20w3_1504]	0.0786	0.0082	1.127	1.1327	1.0091	0.0075
MoBa	[harvest12]	0.0511	0.05	1.0135	1.0111	0.999	0.0084
MoBa	[harvest24]	0.0081	0.0746	0.9957	1.002	1.0008	0.0087
MoBa	[rotterdam1]	0.0415	0.0546	1.0135	1.0124	1.0041	0.0079
MVP	[4_0ICDdep_202106]	0.0431	0.0026	1.334	1.3867	1.0348	0.0105
PBK	[2020]	0.0636	0.0186	1.0165	1.0241	0.9966	0.006
PREFECT	[run1]	0.5365	0.0947	1.0405	1.0405	0.9858	0.0074
SHARE	[godartsshare_842021]	0.1991	0.1304	0.8369	0.8401	0.8279	0.006
STAGE	[MDDdx_saige]	-0.0733	0.0525	1.0075	0.9992	1.0141	0.0078
tkda1	[run1]	0.0262	0.2921	1.0046	0.9981	0.9973	0.0069
UKBB	[MD_glm_202012]	0.0294	0.0017	1.194	1.2199	1.0126	0.0072
