cohort	ancestries	release	N_cases	N_controls	snps	snps_merged	snps_unambiguous_flips	snps_matching	snps_turned	snps_unresolved	snps_aligned	median_fst	max_fst	var_fst	snps_kept	median_OR	max_OR	median_OR01	median_SE	max_SE	median_SE01
23andMe 	eas	v7_2                          	2727  	90220  	8237059 	6538698 	2    	6526506 	3199994	124194	6402312 	1.82e-4	0.939 	4.58e-5	6392673 	1.0005	36.5756 	1.0001	0.0416	9.9895	0.0401
BBJ     	eas	hum0197v3_Depv1_2020          	836   	177794 	13436071	7685385 	0    	7673227 	1429501	123984	7549243 	0.00128	0.924 	4.5e-5 	5473992 	1.001 	2.9064  	1.001 	0.064 	0.2576	0.064 
CONVERGE	eas	10640                         	5303  	5337   	4638084 	4614299 	0    	4614154 	2951027	120986	4493168 	0.225  	0.904 	0.0709 	1085409 	1.0001	1.3063  	1.0001	0.0287	0.1142	0.0287
Taiwan  	eas	20200327                      	1348  	8392   	4153855 	4153855 	0    	4153855 	3206638	82857 	4070998 	6.84e-4	0.327 	3.11e-5	3966754 	1.0005	4.3733  	1.0005	0.0694	1.6786	0.0694
23andMe 	eur	v7_2_202012                   	112892	1773938	13282878	10741251	3    	10725771	5298410	128043	10597728	1.35e-5	0.983 	1.99e-5	10591579	1     	165.5164	1     	0.0113	9.986 	0.0067
AGDS    	eur	202012                        	12123 	12684  	7615323 	7583592 	0    	7583592 	1341473	131983	7451609 	2.85e-5	0.0253	5.2e-8 	7451609 	1.0002	1.6556  	1.0002	0.0301	0.1662	0.0301
Airwave 	eur	0820                          	2100  	15713  	7494792 	7473166 	0    	7473166 	25988  	0     	7473166 	3.44e-5	0.469 	3.39e-7	7472946 	1.0012	2.1255  	1.0012	0.0498	0.2354	0.0498
ALSPAC  	eur	27022020                      	472   	3475   	9088967 	7672087 	0    	7665422 	1383486	131798	7533624 	5.19e-5	0.958 	1.33e-5	5484886 	1.0028	4.2856  	1.0028	0.0887	0.6162	0.0887
BASIC   	eur	202011                        	1003  	1854   	7765315 	7731069 	0    	7731069 	6212230	132102	7598967 	2.46e-4	0.0824	8.73e-7	6587599 	1.0017	3.0572  	1.0017	0.0779	0.4097	0.0779
BioVU   	eur	NoCov_SAIGE_051821            	7757  	24723  	6260491 	6260491 	0    	6260491 	987073 	83881 	6176610 	1.32e-5	0.0795	5.49e-8	6176540 	0.9998	1.9636  	1     	0.0325	0.3696	0.0297
DBDS    	eur	FINAL202103                   	13347 	145996 	7593556 	6890112 	5318 	6806168 	39036  	107095	6699073 	1.06e-4	0.86  	5.27e-6	6697825 	1.001 	1.3624  	1.001 	0.0206	0.2044	0.0206
deCODE  	eur	DEPALL_FINAL_WHEAD            	20000 	28000  	8835741 	7763310 	6603 	7525763 	1300244	124133	7401630 	4.64e-4	0.892 	1.02e-5	7399704 	1     	1.368   	1     	0.0215	0.1165	0.0215
