cohort	release	h2_obs	h2_obs_se	rg.mdd2	se.mdd2	gencov.mdd2	gencov_se.mdd2	z1z2.mdd2	rg.mdd29	se.mdd29	gencov.mdd29	gencov_se.mdd29	z1z2.mdd29
23andMe	[v7_2_202012]	0.0246	0.001	0.9054	0.0163	0.0337	0.0012	0.735	0.729	0.0494	0.0381	0.0022	0.234
AGDS	[202012]	0.1163	0.022	1.1097	0.094	0.0905	0.0051	0.2105	0.8034	0.1175	0.0923	0.0111	0.0738
Airwave	[0820]	0.078	0.0285	0.4361	0.107	0.029	0.0049	0.0634	0.2707	0.1685	0.0259	0.0147	0.0185
ALSPAC	[27022020]	-0.0177	0.1114	nan	nan	0.0376	0.0113	0.0283	nan	nan	0.0901	0.0282	0.0112
BASIC	[202011]	0.0758	0.1651	nan	nan	0.0811	0.0133	0.0507	0.7111	1.2897	0.0629	0.0366	0.0165
BioVU	[NoCov_SAIGE_051821]	-0.0023	0.0147	nan	nan	0.0327	0.0036	0.087	nan	nan	0.0376	0.01	0.0243
DBDS	[FINAL202103]	0.0388	0.0038	0.6791	0.0367	0.0317	0.0021	0.1737	0.7516	0.0821	0.0501	0.0058	0.0901
deCODE	[DEPALL_FINAL_WHEAD]	0.083	0.0105	0.8214	0.0524	0.0559	0.0036	0.2185	0.7792	0.091	0.078	0.0089	0.0761
ESTBB	[EstBB]	0.0066	0.0037	nan	nan	0.0382	0.0022	0.1897	nan	nan	0.0529	0.0057	0.0779
EXCEED	[202010]	0.19	0.161	0.572	0.2644	0.0588	0.0139	0.0401	0.7855	0.4335	0.1115	0.0363	0.0232
FinnGen	[R5_18032020]	0.023	0.0032	0.9254	0.0577	0.0332	0.0019	0.2141	0.8753	0.0916	0.0459	0.0048	0.0852
GenScot	[SCID_0721a]	0.0911	0.0658	0.544	0.2234	0.0388	0.0086	0.1401	0.8565	0.3715	0.0873	0.0208	0.0256
GERA	[0915a_mds5]	0.0407	0.0106	0.9072	0.1011	0.0433	0.0038	0.4036	0.6476	0.1437	0.0448	0.0086	0.0454
HUNT	[gp_hospital_metacarpa_20190625]	0.0474	0.0106	0.9191	0.0957	0.0477	0.003	0.1554	0.8432	0.1486	0.0625	0.0091	0.063
iPSYCH	[2012_HRC]	0.1499	0.0151	0.8881	0.0451	0.0813	0.0045	0.4943	0.6852	0.0953	0.0872	0.0109	0.0805
iPSYCH	[2015i_HRC]	0.1135	0.0216	0.7782	0.0782	0.0626	0.0052	0.1447	0.6823	0.1012	0.0817	0.0121	0.0542
lgic2	[202011]	0.2023	0.0855	0.584	0.1402	0.0623	0.0098	0.0688	0.6381	0.2048	0.1013	0.0261	0.033
MDD49	[29w2_20w3_X28w2_19w3]	0.0788	0.008	0.9144	0.0414	0.061	0.0033	0.4682	1.1296	0.0342	0.1075	0.0096	0.8308
MoBa	[harvest12]	0.0637	0.0505	0.6498	0.2803	0.039	0.0072	0.0557	0.3392	0.2614	0.0287	0.0176	0.0128
MoBa	[harvest24]	0.0244	0.0726	0.958	1.8693	0.0356	0.0089	0.0407	nan	nan	0.0907	0.0221	0.0188
MoBa	[rotterdam1]	0.036	0.0486	0.8728	0.6196	0.0394	0.0071	0.0529	0.8787	0.7225	0.0553	0.0181	0.0226
MVP	[rel4icdDEP_Geno_202109C]	0.0415	0.0025	0.7886	0.0268	0.0383	0.0019	0.3747	0.7042	0.0662	0.0485	0.0044	0.144
PBK	[2020]	0.054	0.0199	0.873	0.177	0.0482	0.0047	0.0965	0.8519	0.2408	0.0662	0.0129	0.045
PREFECT	[run1]	0.5052	0.0958	0.4261	0.0588	0.0719	0.0095	0.0767	0.3591	0.1273	0.0852	0.0299	0.0336
SHARE	[godartsshare_842021]	0.17	0.1307	0.7062	0.3019	0.0695	0.0119	0.041	0.4655	0.2792	0.064	0.0314	0.0149
STAGE	[MDDdx_saige]	-0.0451	0.0448	nan	nan	0.0244	0.0079	0.0454	nan	nan	0.0554	0.0182	0.0209
tkda1	[run1]	-0.1167	0.3033	nan	nan	0.022	0.0172	0.0189	nan	nan	-0.0132	0.044	0.0107
UKBB	[MD_glm_202107]	0.0341	0.002	0.8778	0.0273	0.0382	0.002	0.3838	0.7082	0.0617	0.0442	0.0043	0.1232
