GeneSet	Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	Enrichment_p_fdr
GOBP_ION_TRANSMEMBRANE_TRANSPORT	L2_1	0.09403725013877334	0.0976010713348988	0.00847234252044647	1.037897973312344	0.09009560049813888	0.6737537102813125	6.273332119674781e-10	8.874657519593617e-10	0.7068816014392009	0.7533180612406574
GOBP_MITOCHONDRIAL_FISSION	L2_1	0.00374977416304446	0.00360611988161889	0.00120244285712954	0.9616898844625524	0.32067074038220805	0.90500421200578	7.41948298309237e-10	2.865651430199505e-9	0.25891086769669786	0.9369455371353959
GOMF_TRANSCRIPTION_FACTOR_BINDING	L2_1	0.04663086490395576	0.05696677292181675	0.00599913516553719	1.2216537917353572	0.12865159541632856	0.08728190290398447	1.0784671950860902e-9	1.2372292524213684e-9	0.8716793536650002	0.1995014923519645
GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH	L2_1	0.03104161455851118	0.04642059677461471	0.00770605348556838	1.4954311312356274	0.24824911961467191	0.04750415913830253	3.4229229850519622e-9	2.324185047809165e-9	1.4727411607257754	0.133340925707023
GOBP_ORGANELLE_LOCALIZATION	L2_1	0.04538077243032772	0.05051095016142523	0.00513594632112419	1.113047386731325	0.1131745020208573	0.3185028635437541	1.0587471221130255e-9	1.0912760460000231e-9	0.9701918465027896	0.45206858051371557
GOCC_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE	L2_1	0.00954143313406	0.01918362830665044	0.00477844118416652	2.010560472113015	0.5008095866761303	0.04520149450311186	7.1372890361718405e-9	4.546999957826843e-9	1.5696699147503352	0.132400886828757
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT	L2_1	0.05466655058185833	0.06653987111556653	0.00740758718827334	1.217195349026622	0.1355049314330002	0.10929368266504004	8.135208910532751e-10	1.315774699897293e-9	0.6182828193282459	0.23178564501307064
GOMF_GLUTAMATE_RECEPTOR_BINDING	L2_1	0.00412956607934799	0.01262232955915967	0.00602319174755683	3.0565752712576972	1.4585531825435318	0.16057877157183992	1.8463703693246767e-8	1.3109838123361292e-8	1.4083853301243336	0.2943944145483732
GOCC_DENDRITIC_SHAFT	L2_1	0.00455901276916116	0.00966690679575662	0.00178324021544467	2.1203947620298695	0.3911461331074058	0.0044376086289096	9.233402203710811e-9	3.4606245924584134e-9	2.668131707736447	0.023314003542928046
GOBP_RESPONSE_TO_STEROID_HORMONE	L2_1	0.02656194877539753	0.03184419106657417	0.00480547845402041	1.198865013099837	0.1809158843974351	0.27199842218262005	1.6494999529642196e-9	1.6598237725519395e-9	0.9937801712697204	0.41091607128018137
