field_name	rls	Path	Category	Field	Participants	Items	Stability	ValueType	Units	ItemType	Strata	Sexed	Instances	Array	Coding	Notes	Link
1920	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Mood swings	501619	572245	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Does your mood often go up and down?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1920
1930	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Miserableness	501619	572245	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Do you ever feel 'just miserable' for no reason?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1930
1940	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Irritability	501619	572245	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Are you an irritable person?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1940
1950	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Sensitivity / hurt feelings	501618	572244	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Are your feelings easily hurt?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1950
1960	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Fed-up feelings	501618	572244	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Do you often feel 'fed-up'?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1960
1970	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Nervous feelings	501618	572244	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Would you call yourself a nervous person?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1970
1980	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Worrier / anxious feelings	501617	572243	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Are you a worrier?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1980
1990	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Tense / 'highly strung'	501617	572243	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Would you call yourself tense or 'highly strung'?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1990
2000	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Worry too long after embarrassment	501617	572243	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Do you worry too long after an embarrassing experience?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2000
2010	ukb40531	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Suffer from 'nerves'	501617	572243	Complete	Categorical single		Data	Primary	Unisex	4	1	100349	ACE touchscreen question "Do you suffer from 'nerves'?" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2010
