field_name	rls	Path	Category	Field	Participants	Items	Stability	ValueType	Units	ItemType	Strata	Sexed	Instances	Array	Coding	Notes	Link
52	ukb24262	Population characteristics > Baseline characteristics	100094	Month of birth	502506	502506	Complete	Categorical single		Data	Primary	Unisex	1	1	8	Calendar month of birth of participant. Acquired from central registry, updated by participant.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=52
53	ukb40531	UK Biobank Assessment Centre > Recruitment > Reception	100024	Date of attending assessment centre	502506	573525	Complete	Date		Data	Primary	Unisex	4	1	NA	Date that participant attended a UK Biobank assessment centre. Automatically acquired at Reception stage.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=53
87	ukb40531	UK Biobank Assessment Centre > Verbal interview > Medical conditions	100074	Non-cancer illness year/age first occurred	385697	1121528	Complete	Integer		Data	Primary	Unisex	4	34	37	For each disease entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=87
120	ukb40531	UK Biobank Assessment Centre > Verbal interview > Early life factors	100072	Birth weight known	501648	533687	Complete	Categorical single		Data	Primary	Unisex	3	1	100258	Birth weight known   This question was dropped from the touchscreen protocol on 24/10/2016.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=120
129	ukb40531	UK Biobank Assessment Centre > Verbal interview > Early life factors	100072	Place of birth in UK - north co-ordinate	452292	481102	Complete	Integer	metre-grid	Data	Primary	Unisex	3	1	170	Place born - north co-ordinate   This question was dropped from the touchscreen protocol on 24/10/2016.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=129
130	ukb40531	UK Biobank Assessment Centre > Verbal interview > Early life factors	100072	Place of birth in UK - east co-ordinate	452292	481102	Complete	Integer	metre-grid	Data	Primary	Unisex	3	1	170	Place born - east co-ordinate   This question was dropped from the touchscreen protocol on 24/10/2016.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=130
200	ukb40531	UK Biobank Assessment Centre > Recruitment > Consent	100023	Date of consenting to join UK Biobank	502504	502504	Complete	Date		Data	Primary	Unisex	1	1	NA	Date that participant consented at UK Biobank assessment centre. Automatically acquired at participant consent.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=200
393	ukb40531	UK Biobank Assessment Centre > Recruitment > Consent	100023	Program (tactus) version ID (compiler timestamp)	502504	502504	Complete	Categorical single		Data	Auxiliary	Unisex	1	1	1200	This field identifies the version of the touchscreen system in use at the assessment centre when a participant visit took place. The timestamp is not present in data from the initial pilot clinic.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=393
1647	ukb40531	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Country of birth (UK/elsewhere)	501614	533614	Complete	Categorical single		Data	Primary	Unisex	3	1	100420	ACE touchscreen question "Where were you born?"   Participants who indicated they were born inside the United Kingdom were asked during the verbal interview in what area they had been born (~F129~ and ~F130~).   Participants who indicated they were born outside the United Kingdom and Republic of Ireland were asked during the verbal interview in what country they had been born (~F20115~) and when they had immigrated (~F3659~).   This question was dropped from the touchscreen protocol on 24/10/2016.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1647
2129	ukb40531	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Answered sexual history questions	501609	572235	Complete	Categorical single		Data	Primary	Unisex	4	1	100503	ACE touchscreen question "The next section contains questions about your sexual history. If you feel that a question is too sensitive, you can skip the question or skip the entire section if you prefer."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2129
3065	ukb40531	UK Biobank Assessment Centre > Physical measures > Spirometry	100020	Ordering of blows	457476	1412511	Complete	Categorical single		Data	Primary	Unisex	4	3	23	Ordering of blows in dataset array; 1=earliest; 3=latest	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3065
3066	ukb40531	UK Biobank Assessment Centre > Physical measures > Spirometry	100020	Data points for blow	457476	1412511	Complete	Compound		Data	Primary	Unisex	4	3	NA	This field contains a comma-separated series of values that can be used to draw the curve.   The first field is the blow-number (i.e. the order of the blow in a set of blows done by the participant);   The second field is the number of points in the dataset following;   The third and subsequent points give the volume in mililitres of the exhalation at 10 milisecond intervals.   	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3066
4849	ukb40531	UK Biobank Assessment Centre > Physical measures > Hearing test	100049	Hearing test done	212779	242352	Complete	Categorical single		Data	Primary	Unisex	4	1	100640	ACE touchscreen question "We would now like to measure your hearing using the headphones provided. Are you happy to do this?  (If you are wearing a hearing aid, please remove it before putting the headphones on.  If you cannot find the headphones, or need assistance putting them on, then please ask a member of staff.)"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4849
5090	ukb40531	UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction	100014	Refractometry result unreliable (left)	7319	16121	Complete	Categorical single		Data	Primary	Unisex	2	9	1204	This data field is a string-encoded value meaning refractometry results are unreliable for the left eye	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5090
5091	ukb40531	UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction	100014	Refractometry result unreliable (right)	10472	23315	Complete	Categorical single		Data	Primary	Unisex	2	7	1204	This data field is a string-encoded value meaning refractometry results are unreliable for the right eye	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5091
