"field_name"	"rls"	"Path"	"Category"	"Field"	"Participants"	"Items"	"Stability"	"ValueType"	"Units"	"ItemType"	"Strata"	"Sexed"	"Instances"	"Array"	"Coding"	"Notes"	"Link"
396	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Pairs matching"	100030	"Number of columns displayed in round"	498751	1164328	"Complete"	"Integer"	""	"Data"	"Primary"	"Unisex"	4	3	NA	""	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=396"
397	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Pairs matching"	100030	"Number of rows displayed in round"	498751	1131630	"Complete"	"Integer"	""	"Data"	"Primary"	"Unisex"	4	2	NA	""	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=397"
398	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Pairs matching"	100030	"Number of correct matches in round"	498751	1164328	"Complete"	"Integer"	""	"Data"	"Primary"	"Unisex"	4	3	NA	"This is the number of correct matches in the round. It should always be 3 for a 2x3 game and 6 for a 3x4 game, unless the participant abandoned before finishing."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=398"
399	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Pairs matching"	100030	"Number of incorrect matches in round"	498751	1164328	"Complete"	"Integer"	""	"Data"	"Primary"	"Unisex"	4	3	NA	"A value of 0 indicates the participant made no mistakes."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=399"
400	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Pairs matching"	100030	"Time to complete round"	498751	1164328	"Complete"	"Integer"	"deciseconds"	"Data"	"Primary"	"Unisex"	4	3	402	""	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=400"
401	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Reaction time"	100032	"Index for card A in round"	496614	6763056	"Complete"	"Categorical single"	""	"Data"	"Primary"	"Unisex"	4	12	92	""	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=401"
402	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Reaction time"	100032	"Index for card B in round"	496614	6763056	"Complete"	"Categorical single"	""	"Data"	"Primary"	"Unisex"	4	12	92	""	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=402"
403	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Reaction time"	100032	"Number of times snap-button pressed"	496614	6763056	"Complete"	"Integer"	""	"Data"	"Primary"	"Unisex"	4	12	NA	"This indicates the number of times the snap-button was pressed (i.e. the user indicated the cards matched) in each round."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=403"
404	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Reaction time"	100032	"Duration to first press of snap-button in each round"	494253	3396561	"Complete"	"Integer"	"milliseconds"	"Data"	"Primary"	"Unisex"	4	12	NA	"This gives the interval between the cards being displayed and the participant pressing the snap-button to indicate a match. Note that the time is recorded regardless of whether the cards shown formed a matching pair. ~F401~ and ~F402~ need to be compared to determine if the cards were the same.  Each pair was displayed for 2 seconds, followed by a 1 second gap. If the button-press occurred during a gap then it was recorded against the previous pair, giving a value in the range 2001-2999ms."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=404"
4250	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Number of digits to be memorised/recalled"	81499	713694	"Complete"	"Integer"	""	"Data"	"Auxiliary"	"Unisex"	4	16	NA	"This is the length of the number shown to the participant. The length was capped at 12 digits."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4250"
4251	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Target number to be memorised"	81495	713688	"Complete"	"Text"	""	"Data"	"Auxiliary"	"Unisex"	4	16	NA	"The number displayed to the participant."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4251"
4252	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Target number to be entered"	81495	713688	"Complete"	"Text"	"milliseconds"	"Data"	"Auxiliary"	"Unisex"	4	16	NA	"This is the number the participant was expected to enter - the reverse of ~F4251~"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4252"
4253	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Time number displayed for"	81495	713688	"Complete"	"Integer"	"milliseconds"	"Data"	"Auxiliary"	"Unisex"	4	16	NA	"The time the number to be memorised was visible to the participant."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4253"
4254	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Time first key touched"	81480	713603	"Complete"	"Integer"	"milliseconds"	"Data"	"Auxiliary"	"Unisex"	4	16	NA	"When the participant touched the first key while entering a remembered number."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4254"
4255	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Time last key touched"	81480	713603	"Complete"	"Integer"	"milliseconds"	"Data"	"Auxiliary"	"Unisex"	4	16	NA	"When the participant touched the last key while entering a remembered number."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4255"
4256	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Time elapsed"	81480	713603	"Complete"	"Integer"	"milliseconds"	"Data"	"Supporting"	"Unisex"	4	16	NA	"This is the time the participant had been using the touchscreen before beginning the numeric memory test."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4256"
4257	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Keystroke history"	81499	713694	"Complete"	"Text"	""	"Data"	"Auxiliary"	"Unisex"	4	16	NA	"This records the actual keys touched by the participant while entering a number, including edits/deletions."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4257"
4258	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Number entered by participant"	81480	713603	"Complete"	"Text"	""	"Data"	"Primary"	"Unisex"	4	16	NA	"This is the number entered by participant in each round."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4258"
4259	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Digits entered correctly"	81480	713603	"Complete"	"Categorical single"	""	"Data"	"Primary"	"Unisex"	4	16	29	"Indicates whether the participant correctly entered all the digits in reverse order. This is true if ~F4252~ is equal to ~F4258~"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4259"
4260	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Round of numeric memory test"	81499	713694	"Complete"	"Integer"	""	"Data"	"Primary"	"Unisex"	4	16	NA	"Indicates which round of the numeric memory test the associated results belong to."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4260"
4281	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Completion status of numeric memory test"	81789	87733	"Complete"	"Categorical single"	""	"Data"	"Primary"	"Unisex"	4	1	31	"Completion status of numeric memory test"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4281"
4282	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Maximum digits remembered correctly"	81789	87733	"Complete"	"Integer"	""	"Data"	"Primary"	"Unisex"	4	1	100696	"Longest number correctly recalled during the numeric memory test. A value of -1 is recorded if the participant chose to abandon the test before completing the first round."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4282"
4283	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Number of rounds of numeric memory test performed"	81789	87733	"Complete"	"Integer"	"rounds"	"Data"	"Primary"	"Unisex"	4	1	NA	"Number of rounds of numeric memory test performed"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4283"
4285	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Time to complete test"	81789	87733	"Complete"	"Integer"	"deciseconds"	"Data"	"Auxiliary"	"Unisex"	4	1	NA	"Total time use by numeric memory test from first to last rounds."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4285"
4286	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Prospective memory"	100031	"Time when initial screen shown"	211307	239452	"Complete"	"Time"	""	"Data"	"Primary"	"Unisex"	4	1	NA	""	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4286"
