"field_name"	"rls"	"Path"	"Category"	"Field"	"Participants"	"Items"	"Stability"	"ValueType"	"Units"	"ItemType"	"Strata"	"Sexed"	"Instances"	"Array"	"Coding"	"Notes"	"Link"
1289	"ukb40531"	"UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet"	100052	"Cooked vegetable intake"	501630	572256	"Complete"	"Integer"	"tablespoons/day"	"Data"	"Primary"	"Unisex"	4	1	100373	"ACE touchscreen question \"On average how many heaped tablespoons of COOKED vegetables would you eat per DAY? (Do not include potatoes; put '0' if you do not eat any)\" The following checks were performed:  If answer > 50 then rejected   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know. If you have less than one tablespoon a day select Less than one.     "	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1289"
1299	"ukb40531"	"UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet"	100052	"Salad / raw vegetable intake"	501630	572256	"Complete"	"Integer"	"tablespoons/day"	"Data"	"Primary"	"Unisex"	4	1	100373	"ACE touchscreen question \"On average how many heaped tablespoons of SALAD or RAW vegetables would you eat per DAY? (Include lettuce, tomato in sandwiches; put '0' if you do not eat any)\" The following checks were performed:  If answer > 50 then rejected   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know. If you have less than one tablespoon a day select Less than one.     "	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1299"
1309	"ukb40531"	"UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet"	100052	"Fresh fruit intake"	501630	572256	"Complete"	"Integer"	"pieces/day"	"Data"	"Primary"	"Unisex"	4	1	100373	"ACE touchscreen question \"About how many pieces of FRESH fruit would you eat per DAY? (Count one apple, one banana, 10 grapes etc as one piece; put '0' if you do not eat any)\" The following checks were performed:  If answer > 50 then rejected   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know.     "	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1309"
1319	"ukb40531"	"UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet"	100052	"Dried fruit intake"	501629	572255	"Complete"	"Integer"	"pieces/day"	"Data"	"Primary"	"Unisex"	4	1	100373	"ACE touchscreen question \"About how many pieces of DRIED fruit would you eat per DAY? (Count one prune, one dried apricot, 10 raisins as one piece; put '0' if you do not eat any)\" The following checks were performed:  If answer > 100 then rejected   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know.     "	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1319"
1329	"ukb40531"	"UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet"	100052	"Oily fish intake"	501629	572255	"Complete"	"Categorical single"	""	"Data"	"Primary"	"Unisex"	4	1	100377	"ACE touchscreen question \"How often do you eat oily fish? (e.g. sardines, salmon, mackerel, herring)\" If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know. Oily fish include:   Salmon  Anchovies   Trout   Swordfish   Mackerel  Bloater   Herring  Cacha   Sardines  Carp   Pilchards  Hilsa   Kipper   Jack fish   Eel   Katla   Whitebait  Orange roughy   Tuna (fresh only) Pangas   Sprats     "	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1329"
1339	"ukb40531"	"UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet"	100052	"Non-oily fish intake"	501629	572255	"Complete"	"Categorical single"	""	"Data"	"Primary"	"Unisex"	4	1	100377	"ACE touchscreen question \"How often do you eat other types of fish? (e.g. cod, tinned tuna, haddock)\" If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know.     "	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1339"
1349	"ukb40531"	"UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet"	100052	"Processed meat intake"	501628	572254	"Complete"	"Categorical single"	""	"Data"	"Primary"	"Unisex"	4	1	100377	"ACE touchscreen question \"How often do you eat processed meats (such as bacon, ham, sausages, meat pies, kebabs, burgers, chicken nuggets)?\" If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year If you are unsure, please provide an estimate or select Do not know.     "	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1349"
1359	"ukb40531"	"UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet"	100052	"Poultry intake"	501628	572254	"Complete"	"Categorical single"	""	"Data"	"Primary"	"Unisex"	4	1	100377	"ACE touchscreen question \"How often do you eat chicken, turkey or other poultry? (Do not count processed meats)\" If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year If you are unsure, please provide an estimate or select Do not know.       Poultry include fowl (e.g. chicken, turkey, quail), waterfowl (e.g. duck, goose) and game (e.g. pheasant)."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1359"
1369	"ukb40531"	"UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet"	100052	"Beef intake"	501628	572254	"Complete"	"Categorical single"	""	"Data"	"Primary"	"Unisex"	4	1	100377	"ACE touchscreen question \"How often do you eat beef? (Do not count processed meats)\" If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year If you are unsure, please provide an estimate or select Do not know.     "	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1369"
1379	"ukb40531"	"UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet"	100052	"Lamb/mutton intake"	501628	572254	"Complete"	"Categorical single"	""	"Data"	"Primary"	"Unisex"	4	1	100377	"ACE touchscreen question \"How often do you eat lamb/mutton? (Do not count processed meats)\" If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year If you are unsure, please provide an estimate or select Do not know.     "	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1379"
