"field_name"	"rls"	"Path"	"Category"	"Field"	"Participants"	"Items"	"Stability"	"ValueType"	"Units"	"ItemType"	"Strata"	"Sexed"	"Instances"	"Array"	"Coding"	"Notes"	"Link"	"category"	"field_tag"	"fields_used"
12139	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI"	100	"Believed safe to perform brain MRI scan"	47922	50661	"Accruing"	"Categorical single"	""	"Data"	"Primary"	"Unisex"	2	1	634	"A trained nurse interviewed the participant about their medical history (for instance metallic implants) and declared whether or not they believed it was safe for the participant to undergo the Brain MRI scan on the basis of the information they were given."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12139"	"Brain imaging QC and covariates"	"12139"	"12139"
12187	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI"	100	"Brain MRI measuring method"	47001	49735	"Accruing"	"Categorical single"	""	"Data"	"Primary"	"Unisex"	2	1	470	"This field indicates whether the participant was able to attempt the brain MRI (direct entry) or was unable to start it due to equipment failure or some other reason."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12187"	"Brain imaging QC and covariates"	"12187"	"12187"
12188	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI"	100	"Operator indicated brain MRI measurement completed"	45208	47918	"Accruing"	"Categorical single"	""	"Data"	"Primary"	"Unisex"	2	1	21	"At the end of the brain MRI process the device operator was required to indicate whether they believed the measurement had been performed fully.    Please note that this does not always mean that the participant has complete brain MRI data available for download."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12188"	"Brain imaging QC and covariates"	"12188"	"12188"
12651	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI"	106	"Duration of eprime test"	38433	40785	"Accruing"	"Integer"	"seconds"	"Data"	"Primary"	"Unisex"	2	1	NA	"This is the length of time that the eprime test was administered for."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12651"	"Brain imaging QC and covariates"	"12651"	"12651"
12706	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI"	106	"Eprime error flag"	381	381	"Accruing"	"Categorical single"	""	"Data"	"Derived"	"Unisex"	2	1	100699	"The Eprime test was run on a separate computer to the ICE system. This flag indicates occasions when the ICE computer detected a problem with the remote Eprime system resulting in either partial or no datasets being returned."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12706"	"Brain imaging QC and covariates"	"12706"	"12706"
25000	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Volumetric scaling from T1 head image to standard space"	39772	41199	"Accruing"	"Continuous"	"ratio"	"Data"	"Derived"	"Unisex"	2	1	NA	"Volumetric scaling from the T1 head image to standard space"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25000"	"Brain imaging QC and covariates"	"25000"	"25000"
25731	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Discrepancy between T1 brain image and standard-space brain template (linearly-aligned)"	39772	41199	"Accruing"	"Continuous"	"AU"	"Data"	"Derived"	"Unisex"	2	1	NA	"Discrepancy between the T1 brain image (linearly-aligned to standard space) and the standard-space brain template"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25731"	"Brain imaging QC and covariates"	"25731"	"25731"
25732	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Discrepancy between T1 brain image and standard-space brain template (nonlinearly-aligned)"	39772	41199	"Accruing"	"Continuous"	"AU"	"Data"	"Derived"	"Unisex"	2	1	NA	"Discrepancy between the T1 brain image (nonlinearly-aligned to standard space) and the standard-space brain template"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25732"	"Brain imaging QC and covariates"	"25732"	"25732"
25733	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Amount of warping applied to non-linearly align T1 brain image to standard-space"	39772	41199	"Accruing"	"Continuous"	"AU"	"Data"	"Derived"	"Unisex"	2	1	NA	"Amount of warping (averaged distortion) applied to nonlinearly align the T1 brain image to standard-space"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25733"	"Brain imaging QC and covariates"	"25733"	"25733"
25734	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Inverted signal-to-noise ratio in T1"	39772	41199	"Accruing"	"Continuous"	"ratio"	"Data"	"Derived"	"Unisex"	2	1	NA	"Inverted signal-to-noise ratio in the T1 - background spatial standard deviation divided by mean brain intensity"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25734"	"Brain imaging QC and covariates"	"25734"	"25734"
25735	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI"	110	"Inverted contrast-to-noise ratio in T1"	39772	41199	"Accruing"	"Continuous"	"ratio"	"Data"	"Derived"	"Unisex"	2	1	NA	"Inverted contrast-to-noise ratio in the T1 - background spatial standard deviation divided by contrast between white and grey matter mean intensities"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25735"	"Brain imaging QC and covariates"	"25735"	"25735"
25736	"ukb40531"	"UK Biobank Assessment Centre > Imaging > Brain MRI > T2-weighted brain MRI"	112	"Discrepancy between T2 FLAIR brain image and T1 brain image"	38431	39846	"Accruing"	"Continuous"	"AU"	"Data"	"Derived"	"Unisex"	2	1	NA	"Discrepancy between the T2 FLAIR brain image (linearly-aligned to the T1) and the T1 brain image"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25736"	"Brain imaging QC and covariates"	"25736"	"25736"
