"field_name"	"rls"	"Path"	"Category"	"Field"	"Participants"	"Items"	"Stability"	"ValueType"	"Units"	"ItemType"	"Strata"	"Sexed"	"Instances"	"Array"	"Coding"	"Notes"	"Link"	"category"	"field_tag"	"field_used"
399	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Pairs matching"	100030	"Number of incorrect matches in round"	498751	1164328	"Complete"	"Integer"	""	"Data"	"Primary"	"Unisex"	4	3	NA	"A value of 0 indicates the participant made no mistakes."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=399"	"Cognition"	"399"	"399"
400	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Pairs matching"	100030	"Time to complete round"	498751	1164328	"Complete"	"Integer"	"deciseconds"	"Data"	"Primary"	"Unisex"	4	3	402	""	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=400"	"Cognition"	"400"	"400"
404	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Reaction time"	100032	"Duration to first press of snap-button in each round"	494253	3396561	"Complete"	"Integer"	"milliseconds"	"Data"	"Primary"	"Unisex"	4	12	NA	"This gives the interval between the cards being displayed and the participant pressing the snap-button to indicate a match. Note that the time is recorded regardless of whether the cards shown formed a matching pair. ~F401~ and ~F402~ need to be compared to determine if the cards were the same.  Each pair was displayed for 2 seconds, followed by a 1 second gap. If the button-press occurred during a gap then it was recorded against the previous pair, giving a value in the range 2001-2999ms."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=404"	"Cognition"	"404"	"404"
4250	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Number of digits to be memorised/recalled"	81499	713694	"Complete"	"Integer"	""	"Data"	"Auxiliary"	"Unisex"	4	16	NA	"This is the length of the number shown to the participant. The length was capped at 12 digits."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4250"	"Cognition"	"4250"	"4250"
4282	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Maximum digits remembered correctly"	81789	87733	"Complete"	"Integer"	""	"Data"	"Primary"	"Unisex"	4	1	100696	"Longest number correctly recalled during the numeric memory test. A value of -1 is recorded if the participant chose to abandon the test before completing the first round."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4282"	"Cognition"	"4282"	"4282"
4285	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Numeric memory"	100029	"Time to complete test"	81789	87733	"Complete"	"Integer"	"deciseconds"	"Data"	"Auxiliary"	"Unisex"	4	1	NA	"Total time use by numeric memory test from first to last rounds."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4285"	"Cognition"	"4285"	"4285"
6348	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Trail making"	505	"Duration to complete numeric path (trail #1)"	32832	35054	"Accruing"	"Integer"	"deciseconds"	"Data"	"Primary"	"Unisex"	2	1	1990	"Duration to complete numeric path (trail #1)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6348"	"Cognition"	"6348"	"6348"
6349	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Trail making"	505	"Total errors traversing numeric path (trail #1)"	32832	35054	"Accruing"	"Integer"	"error-count"	"Data"	"Primary"	"Unisex"	2	1	NA	"Total errors made while traversing numeric path. A zero value here does not indicate that the participant completed the trail without problems as it is possible they abandoned during the process prior to making any mistakes - see ~F6348~ to determine whether they actually completed the trail."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6349"	"Cognition"	"6349"	"6349"
6350	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Trail making"	505	"Duration to complete alphanumeric path (trail #2)"	32832	35054	"Accruing"	"Integer"	"deciseconds"	"Data"	"Primary"	"Unisex"	2	1	1990	"Duration to complete alphanumeric path (trail #2)"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6350"	"Cognition"	"6350"	"6350"
6351	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Trail making"	505	"Total errors traversing alphanumeric path (trail #2)"	32832	35054	"Accruing"	"Integer"	"error-count"	"Data"	"Primary"	"Unisex"	2	1	NA	"Total errors traversing alphanumeric path (trail #2). A zero value here does not indicate that the participant completed the trail without problems as it is possible they abandoned during the process prior to making any mistakes - see ~F6350~ to determine whether they actually completed the trail."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6351"	"Cognition"	"6351"	"6351"
6373	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Matrix pattern completion"	501	"Number of puzzles correctly solved"	32468	34653	"Accruing"	"Integer"	"correct-answers"	"Data"	"Primary"	"Unisex"	2	1	NA	"This is the number of puzzles for which the participant gave the correct solution. It should be used in conjunction with ~F6374~ which describes the number of puzzles attempted. The range is 0-15."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6373"	"Cognition"	"6373"	"6373"
6382	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Tower rearranging"	503	"Number of puzzles correct"	32832	35054	"Accruing"	"Integer"	"correct-answers"	"Data"	"Primary"	"Unisex"	2	1	NA	"Number of puzzles correct"	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6382"	"Cognition"	"6382"	"6382"
6770	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Trail making"	505	"Errors before selecting correct item in numeric path (trail #1)"	10566	13290	"Accruing"	"Integer"	"error-count"	"Data"	"Derived"	"Unisex"	2	24	NA	"Errors before selecting a particular correct item in numeric path (trail #1). Only values greater than zero are recorded.  It is possible that the value recorded here is less than the sum of the values in ~F6349~ since this field does not count mistakes made on the latest circle when the trail timed-out before it was correctly selected."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6770"	"Cognition"	"6770"	"6770"
6771	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Trail making"	505	"Errors before selecting correct item in alphanumeric path (trail #2)"	14551	26303	"Accruing"	"Integer"	"error-count"	"Data"	"Derived"	"Unisex"	2	24	NA	"Errors before selecting a particular correct item in alphanumeric path (trail #2). Only values greater than zero are recorded.  It is possible that the value recorded here is less than the sum of the values in ~F6351~ since this field does not count mistakes made on the latest circle when the trail timed-out before it was correctly selected."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6771"	"Cognition"	"6771"	"6771"
6772	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Trail making"	505	"Interval between previous point and current one in numeric path (trail #1)"	32528	865682	"Accruing"	"Integer"	"deciseconds"	"Data"	"Derived"	"Unisex"	2	25	NA	"Interval between previous point and current one in numeric path (trail #1). Note that these intervals are unlikely to sum to ~F6348~ due to rounding truncation.   If a participant did not complete the trail (as indicated by a zero in ~F6348~) then the number of results for this field will be smaller than the length (25) of the trail."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6772"	"Cognition"	"6772"	"6772"
6773	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Trail making"	505	"Interval between previous point and current one in alphanumeric path (trail #2)"	32403	850746	"Accruing"	"Integer"	"milliseconds"	"Data"	"Derived"	"Unisex"	2	25	NA	"Interval between previous point and current one in alphanumeric path (trail #2). Note that these intervals are unlikely to sum to ~F6350~ due to rounding truncation.   If a participant did not complete the trail (as indicated by a zero in ~F6350~) then the number of results for this field will be smaller than the length (25) of the trail."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6773"	"Cognition"	"6773"	"6773"
20016	"ukb40531"	"UK Biobank Assessment Centre > Cognitive function > Fluid intelligence / reasoning"	100027	"Fluid intelligence score"	204713	232255	"Complete"	"Integer"	"correct-answers"	"Data"	"Derived"	"Unisex"	4	1	NA	"This is a simple unweighted sum of the number of correct answers given to the 13 fluid intelligence questions. Participants who did not answer all of the questions within the allotted 2 minute limit are scored as zero for each of the unattempted questions."	"http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20016"	"Cognition"	"20016"	"20016"
