field_name	rls	Path	Category	Field	Participants	Items	Stability	ValueType	Units	ItemType	Strata	Sexed	Instances	Array	Coding	Notes	Link
31	ukb24262	Population characteristics > Baseline characteristics	100094	Sex	502506	502506	Complete	Categorical single		Data	Primary	Unisex	1	1	9	Sex of participant.  Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=31
34	ukb24262	Population characteristics > Baseline characteristics	100094	Year of birth	502506	502506	Complete	Integer	years	Data	Primary	Unisex	1	1	NA	Year of birth of participant. Acquired from central registry, updated by participant.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=34
45	ukb40531	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	100018	Heel ultrasound device id	497974	566547	Complete	Text		Data	Auxiliary	Unisex	4	1	NA	Ultrasound heel (Sahara) gadget ID	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=45
46	ukb40531	UK Biobank Assessment Centre > Physical measures > Hand grip strength	100019	Hand grip strength (left)	499266	568255	Complete	Integer	Kg	Data	Primary	Unisex	4	1	NA	Left grip strength	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=46
47	ukb40531	UK Biobank Assessment Centre > Physical measures > Hand grip strength	100019	Hand grip strength (right)	499341	568338	Complete	Integer	Kg	Data	Primary	Unisex	4	1	NA	Right grip strength	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=47
48	ukb40531	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Waist circumference	500408	569829	Complete	Continuous	cm	Data	Primary	Unisex	4	1	NA	Waist circumference	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=48
49	ukb40531	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Hip circumference	500346	569767	Complete	Continuous	cm	Data	Primary	Unisex	4	1	NA	Hip circumference	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=49
50	ukb40531	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Standing height	500043	569401	Complete	Continuous	cm	Data	Primary	Unisex	4	1	NA	Standing height was measured using a Seca 202 device	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=50
51	ukb40531	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Seated height	497178	565500	Complete	Continuous	cm	Data	Primary	Unisex	4	1	NA	Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=51
52	ukb24262	Population characteristics > Baseline characteristics	100094	Month of birth	502506	502506	Complete	Categorical single		Data	Primary	Unisex	1	1	8	Calendar month of birth of participant. Acquired from central registry, updated by participant.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=52
53	ukb40531	UK Biobank Assessment Centre > Recruitment > Reception	100024	Date of attending assessment centre	502506	573525	Complete	Date		Data	Primary	Unisex	4	1	NA	Date that participant attended a UK Biobank assessment centre. Automatically acquired at Reception stage.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=53
54	ukb40531	UK Biobank Assessment Centre > Recruitment > Reception	100024	UK Biobank assessment centre	502506	573520	Complete	Categorical single		Data	Primary	Unisex	4	1	10	The UK Biobank assessment centre at which participant consented. Automatically acquired at participant consent	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=54
