Location,SNP-weight Set,ID,TWAS.Z,TWAS.P,FOCUS_twas_z,FOCUS_in_cred_set,FOCUS_pip,FOCUS_region
chr1:8384389-8404227,CMC DLPFC,SLC45A1,6.079,1.21e-09,6.78,0,0.000379,1:7247335-1:9365199
chr1:8412457-8877702,GTEx Caudate...,RERE,-6.148,7.85e-10,-5.97,0,0.000245,1:7247335-1:9365199
chr1:8412457-8877702,GTEx Hippoca...,RERE,-6.22038,4.96e-10,-6.21,0,0.000319,1:7247335-1:9365199
chr1:8412457-8877702,PsychENCODE,RERE,-6.271,3.59e-10,-6.16,0,0.000289,1:7247335-1:9365199
chr1:8412457-8877702,GTEx Thyroid,RERE,-5.697143,1.22e-08,-5.58,0,0.000185,1:7247335-1:9365199
chr1:8412457-8877702,GTEx Whole B...,RERE,-8.23,1.87e-16,-7.82,0,0.0283,1:7247335-1:9365199
chr1:8412457-8877702,YFS Blood,RERE,-8.140005,3.95e-16,-7.95,0,0.0726,1:7247335-1:9365199
chr1:8412463-8877755,NTR Blood,RERE,-7.525,5.27e-14,-6.71,0,0.000284,1:7247335-1:9365199
chr1:8484705-8494898,GTEx Thyroid,RP5-1115A15.1,-8.479434,2.26e-17,-8.3,1,0.9,1:7247335-1:9365199
chr1:8484705-8494898,GTEx Whole B...,RP5-1115A15.1,-5.79098,7e-09,-5.79,0,0.000212,1:7247335-1:9365199
chr1:16154724-16155167,GTEx Cerebel...,RP11-169K16.8,5.291,1.22e-07,5.18,1,0.107,1:14891511-1:16897716
chr1:16154724-16155167,GTEx Cerebel...,RP11-169K16.8,5.28,1.29e-07,5.17,1,0.116,1:14891511-1:16897716
chr1:16154724-16155167,GTEx Hippoca...,RP11-169K16.8,5.291,1.22e-07,5.04,1,0.0533,1:14891511-1:16897716
chr1:16154724-16155167,PsychENCODE,RP11-169K16.8,5.54272,2.98e-08,5.36,1,0.291,1:14891511-1:16897716
chr1:16154724-16155167,GTEx Thyroid,RP11-169K16.8,5.011,5.41e-07,4.92,1,0.0303,1:14891511-1:16897716
chr1:16160560-16163401,GTEx Cerebel...,RP11-169K16.9,5.876,4.2e-09,5.1,1,0.0815,1:14891511-1:16897716
chr1:16330731-16335302,PsychENCODE,C1orf64,5.48565,4.12e-08,5.39,1,0.31,1:14891511-1:16897716
chr1:36789335-36794822,PsychENCODE,RP11-268J15.5,-4.87234,1.1e-06,-4.77,1,0.109,1:34799758-1:37549183
chr1:36884051-36884179,GTEx Nucleus...,SNORA63,5.6156,1.96e-08,6.02,1,0.791,1:34799758-1:37549183
chr1:38179552-38230805,GTEx Cerebel...,EPHA10,-4.932382,8.12e-07,-4.88,1,0.241,1:37549183-1:38731847
chr1:38268616-38272648,GTEx Putamen...,YRDC,5.4034,6.54e-08,5.36,1,0.585,1:37549183-1:38731847
chr1:38268616-38272648,GTEx Putamen...,YRDC,5.4034,6.54e-08,0.293,0,0.000232,1:38731847-1:40199962
chr1:38272651-38275126,PsychENCODE,C1orf122,5.183,2.18e-07,4.95,0,0.0231,1:37549183-1:38731847
chr1:38422647-38456593,GTEx Adrenal...,SF3A3,5.1679,2.37e-07,5.05,1,0.0252,1:37549183-1:38731847
chr1:38474930-38490496,GTEx Whole B...,UTP11L,4.83213,1.35e-06,4.39,0,0.00222,1:37549183-1:38731847
chr1:38474930-38490496,GTEx Whole B...,UTP11L,4.83213,1.35e-06,1.82,0,0.000842,1:38731847-1:40199962
chr1:41086351-41131324,CMC DLPFC Sp...,RIMS3,5.01387,5.33e-07,4.9,1,0.208,1:40200894-1:41975327
chr1:41086351-41131329,YFS Blood,RIMS3,-4.986185,6.16e-07,-4.84,1,0.0959,1:40200894-1:41975327
chr1:47681962-47697892,PsychENCODE,TAL1,5.21811,1.81e-07,5.09,1,0.828,1:46899657-1:48002576
