Location,ID,PANEL_clean_short,TWAS.Z,TWAS.P,COLOC.PP0,COLOC.PP1,COLOC.PP2,COLOC.PP3,COLOC.PP4,Low_PP3_0.2,Colocalised
chr1:8384389-8404227,SLC45A1,CMC DLPFC,6.079,1.21e-09,0,0,0.12,0.877,0.004,No,No
chr1:8412457-8877702,RERE,GTEx Caudate...,-6.148,7.85e-10,0,0,0.889,0.068,0.043,Yes,No
chr1:8412457-8877702,RERE,GTEx Hippoca...,-6.22038,4.96e-10,0,0,0.35,0.05,0.599,Yes,No
chr1:8412457-8877702,RERE,PsychENCODE,-6.271,3.59e-10,0,0,0,1,0,No,No
chr1:8412457-8877702,RERE,GTEx Thyroid,-5.697143,1.22e-08,0,0,0.001,0.046,0.953,Yes,Yes
chr1:8412457-8877702,RERE,GTEx Whole B...,-8.23,1.87e-16,0,0,0,0,1,Yes,Yes
chr1:8412457-8877702,RERE,YFS Blood,-8.140005,3.95e-16,0,0,0,0.001,0.999,Yes,Yes
chr1:8412463-8877755,RERE,NTR Blood,-7.525,5.27e-14,0,0,0,0.261,0.739,No,No
chr1:8484705-8494898,RP5-1115A15.1,GTEx Thyroid,-8.479434,2.26e-17,0,0,0,0.001,0.999,Yes,Yes
chr1:8484705-8494898,RP5-1115A15.1,GTEx Whole B...,-5.79098,7e-09,0,0,0.081,0.007,0.912,Yes,Yes
chr1:16154724-16155167,RP11-169K16.8,GTEx Cerebel...,5.291,1.22e-07,0.001,0.001,0.025,0.064,0.908,Yes,Yes
chr1:16154724-16155167,RP11-169K16.8,GTEx Cerebel...,5.28,1.29e-07,0.015,0.001,0.672,0.032,0.281,Yes,No
chr1:16154724-16155167,RP11-169K16.8,GTEx Hippoca...,5.291,1.22e-07,0.003,0.001,0.118,0.06,0.818,Yes,Yes
chr1:16154724-16155167,RP11-169K16.8,PsychENCODE,5.54272,2.98e-08,0,0,0,0.022,0.978,Yes,Yes
chr1:16154724-16155167,RP11-169K16.8,GTEx Thyroid,5.011,5.41e-07,0.007,0.003,0.322,0.155,0.513,Yes,No
chr1:16160560-16163401,RP11-169K16.9,GTEx Cerebel...,5.876,4.2e-09,0.002,0,0.07,0.003,0.925,Yes,Yes
chr1:16330731-16335302,C1orf64,PsychENCODE,5.48565,4.12e-08,0,0.003,0,0.372,0.625,No,No
