"WGT" "FILE" "ID" "PANEL_clean_short" "PANEL_clean" "CHR" "TWAS.Z" "TWAS.P" "COLOC.PP0" "COLOC.PP1" "COLOC.PP2" "COLOC.PP3" "COLOC.PP4" "PANEL" "P0" "P1"
"Adrenal_Gland/Adrenal_Gland.ENSG00000011454.12.wgt.RDat" "resources/twas/fusion_data/Adrenal_Gland/Adrenal_Gland/Adrenal_Gland.ENSG00000011454.12.wgt.RDat" "RABGAP1" "GTEx Adrenal..." "GTEx Adrenal Gland" 9 5.994 2.05e-09 0 0 0.152 0.022 0.825 "Adrenal_Gland" 125703112 125867145
"Adrenal_Gland/Adrenal_Gland.ENSG00000054967.8.wgt.RDat" "resources/twas/fusion_data/Adrenal_Gland/Adrenal_Gland/Adrenal_Gland.ENSG00000054967.8.wgt.RDat" "RELT" "GTEx Adrenal..." "GTEx Adrenal Gland" 11 4.9858 6.17e-07 0 0 0.632 0.099 0.268 "Adrenal_Gland" 73087309 73108517
"Adrenal_Gland/Adrenal_Gland.ENSG00000085382.7.wgt.RDat" "resources/twas/fusion_data/Adrenal_Gland/Adrenal_Gland/Adrenal_Gland.ENSG00000085382.7.wgt.RDat" "HACE1" "GTEx Adrenal..." "GTEx Adrenal Gland" 6 5.1805 2.21e-07 0.003 0.001 0.404 0.101 0.491 "Adrenal_Gland" 105175968 105307794
"Adrenal_Gland/Adrenal_Gland.ENSG00000085788.9.wgt.RDat" "resources/twas/fusion_data/Adrenal_Gland/Adrenal_Gland/Adrenal_Gland.ENSG00000085788.9.wgt.RDat" "DDHD2" "GTEx Adrenal..." "GTEx Adrenal Gland" 8 -5.3889 7.09e-08 0 0.002 0 0.055 0.943 "Adrenal_Gland" 38082736 38120351
"Adrenal_Gland/Adrenal_Gland.ENSG00000089775.7.wgt.RDat" "resources/twas/fusion_data/Adrenal_Gland/Adrenal_Gland/Adrenal_Gland.ENSG00000089775.7.wgt.RDat" "ZBTB25" "GTEx Adrenal..." "GTEx Adrenal Gland" 14 -5.464 4.66e-08 0 0 0.542 0.433 0.025 "Adrenal_Gland" 64915824 64971931
"Adrenal_Gland/Adrenal_Gland.ENSG00000090316.11.wgt.RDat" "resources/twas/fusion_data/Adrenal_Gland/Adrenal_Gland/Adrenal_Gland.ENSG00000090316.11.wgt.RDat" "MAEA" "GTEx Adrenal..." "GTEx Adrenal Gland" 4 4.946 7.58e-07 0 0.009 0 0.005 0.986 "Adrenal_Gland" 1283639 1333925
"Adrenal_Gland/Adrenal_Gland.ENSG00000100714.11.wgt.RDat" "resources/twas/fusion_data/Adrenal_Gland/Adrenal_Gland/Adrenal_Gland.ENSG00000100714.11.wgt.RDat" "MTHFD1" "GTEx Adrenal..." "GTEx Adrenal Gland" 14 -4.9968 5.83e-07 0 0 0.003 0.037 0.959 "Adrenal_Gland" 64854749 64926722
"Adrenal_Gland/Adrenal_Gland.ENSG00000101017.9.wgt.RDat" "resources/twas/fusion_data/Adrenal_Gland/Adrenal_Gland/Adrenal_Gland.ENSG00000101017.9.wgt.RDat" "CD40" "GTEx Adrenal..." "GTEx Adrenal Gland" 20 -7.622 2.49e-14 0 0 0.08 0.345 0.575 "Adrenal_Gland" 44746911 44758502
"Adrenal_Gland/Adrenal_Gland.ENSG00000105404.6.wgt.RDat" "resources/twas/fusion_data/Adrenal_Gland/Adrenal_Gland/Adrenal_Gland.ENSG00000105404.6.wgt.RDat" "RABAC1" "GTEx Adrenal..." "GTEx Adrenal Gland" 19 5.06 4.26e-07 0.007 0.005 0.013 0.009 0.965 "Adrenal_Gland" 42460833 42463542
"Adrenal_Gland/Adrenal_Gland.ENSG00000106460.14.wgt.RDat" "resources/twas/fusion_data/Adrenal_Gland/Adrenal_Gland/Adrenal_Gland.ENSG00000106460.14.wgt.RDat" "TMEM106B" "GTEx Adrenal..." "GTEx Adrenal Gland" 7 9.506 1.98e-21 0 0 0.021 0.015 0.963 "Adrenal_Gland" 12250867 12282993
"Adrenal_Gland/Adrenal_Gland.ENSG00000111832.8.wgt.RDat" "resources/twas/fusion_data/Adrenal_Gland/Adrenal_Gland/Adrenal_Gland.ENSG00000111832.8.wgt.RDat" "RWDD1" "GTEx Adrenal..." "GTEx Adrenal Gland" 6 -4.933 8.1e-07 0.219 0.046 0.27 0.056 0.409 "Adrenal_Gland" 116892530 116918838
"Adrenal_Gland/Adrenal_Gland.ENSG00000112812.11.wgt.RDat" "resources/twas/fusion_data/Adrenal_Gland/Adrenal_Gland/Adrenal_Gland.ENSG00000112812.11.wgt.RDat" "PRSS16" "GTEx Adrenal..." "GTEx Adrenal Gland" 6 -7.879 3.3e-15 0 0 0 0.999 0 "Adrenal_Gland" 27215480 27224250
