GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	30	7	3382952	0.01561	0.49377	SAMD11
ENSG00000268179	1	861264	866445	8	2	3458495	-1.4166	0.9217	AL645608.1
ENSG00000188976	1	879584	894689	39	4	3399324	0.28829	0.38656	NOC2L
ENSG00000187961	1	895967	901095	17	3	3390160	-0.11283	0.54492	KLHL17
ENSG00000187583	1	901877	911245	13	6	3327654	-0.10836	0.54315	PLEKHN1
ENSG00000187642	1	910579	917497	18	4	3359393	-0.24716	0.59761	C1orf170
ENSG00000188290	1	934342	935552	2	1	3323731	0.91313	0.18059	HES4
ENSG00000187608	1	948803	949920	3	1	3355480	-0.57972	0.71895	ISG15
ENSG00000188157	1	955503	991496	77	8	3396085	1.5632	0.058997	AGRN
ENSG00000237330	1	1006346	1009687	7	2	3514470	2.2554	0.012053	RNF223
ENSG00000131591	1	1017198	1051741	83	8	3464168	0.75082	0.22638	C1orf159
ENSG00000162571	1	1109264	1133315	63	9	3510904	-0.77996	0.78229	TTLL10
ENSG00000186891	1	1138888	1142071	2	1	3550534	0.27739	0.39074	TNFRSF18
ENSG00000186827	1	1146706	1149518	7	2	3408502	0.56374	0.28646	TNFRSF4
ENSG00000078808	1	1152288	1167411	67	2	3524804	-0.90037	0.81604	SDF4
ENSG00000176022	1	1167629	1170421	4	2	3375911	1.1564	0.12377	B3GALT6
ENSG00000184163	1	1177826	1182102	9	2	3518081	-0.044732	0.51784	FAM132A
ENSG00000160087	1	1189289	1209265	27	4	3428934	-0.10336	0.54116	UBE2J2
ENSG00000162572	1	1215816	1227409	22	6	3454972	-0.037499	0.51496	SCNN1D
ENSG00000131584	1	1227756	1244989	17	4	3425921	-0.90738	0.8179	ACAP3
ENSG00000169972	1	1243947	1247057	3	2	3356797	0.35628	0.36082	PUSL1
ENSG00000127054	1	1246965	1260071	15	4	3468674	-0.2998	0.61783	CPSF3L
ENSG00000224051	1	1260136	1264277	8	2	3523624	-0.37707	0.64694	GLTPD1
ENSG00000169962	1	1266694	1270686	11	4	3506297	-0.32479	0.62733	TAS1R3
ENSG00000107404	1	1270656	1284730	26	5	3465292	-0.38391	0.64948	DVL1
ENSG00000162576	1	1288069	1297157	19	4	3522585	-0.436	0.66858	MXRA8
ENSG00000175756	1	1309110	1310875	7	2	3357193	0.034488	0.48624	AURKAIP1
ENSG00000221978	1	1321091	1334708	8	3	3531685	-1.2791	0.89956	CCNL2
ENSG00000224870	1	1334902	1337426	7	2	3548320	-0.29418	0.61569	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	8	3	3444640	-0.40048	0.6556	MRPL20
ENSG00000235098	1	1353800	1357149	6	2	3550929	-1.142	0.87328	ANKRD65
ENSG00000205116	1	1361508	1363167	3	1	3425404	0.0034378	0.49863	TMEM88B
ENSG00000179403	1	1370241	1378262	9	2	3509488	0.037662	0.48498	VWA1
ENSG00000160072	1	1407143	1433228	1	1	3354511	0.79365	0.2137	ATAD3B
ENSG00000197785	1	1447531	1470067	19	2	3453453	0.7571	0.22449	ATAD3A
ENSG00000205090	1	1470554	1475833	4	1	3475596	0.79958	0.21198	TMEM240
ENSG00000160075	1	1477053	1510249	34	4	3426494	0.16417	0.4348	SSU72
ENSG00000215014	1	1510355	1511373	1	1	3508730	-0.15604	0.562	AL645728.1
ENSG00000228594	1	1533392	1535476	1	1	3411599	1.8451	0.03251	C1orf233
ENSG00000197530	1	1550795	1565990	4	2	3353588	0.52759	0.29889	MIB2
