ENSID	Gene	Nearest_gene	Fine_mapping	Expression	Protein	fastBAT	HMAGMA	PsyOPS	Chrom_b37	pos_start_b37	pos_end_b37	Chrom_b38	pos_start_b38	pos_end_b38
ENSG00000236423	LINC01134	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	3816936	3833789	chr1	3900347	3917225
ENSG00000116288	PARK7	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	8014351	8045565	chr1	7954291	7985505
ENSG00000116285	ERRFI1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	8064464	8086368	chr1	8004404	8026309
ENSG00000238290	ERRFI1-DT	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	8086798	8182762	chr1	8026738	8122702
ENSG00000251977	RNU6-991P	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	8352217	8352323	chr1	8292157	8292263
ENSG00000162426	SLC45A1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	8377886	8404227	chr1	8318114	8344167
ENSG00000142599	RERE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	1	8412457	8877702	chr1	8352397	8848921
ENSG00000232912	RERE-AS1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	1	8484705	8494898	chr1	8424645	8435013
ENSG00000270282	RP5-1115A15.2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	8572712	8573080	chr1	8512653	8513021
ENSG00000234619	RPL7P11	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	8810489	8811146	chr1	8750430	8751087
ENSG00000224315	RPL7P7	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	8846270	8846972	chr1	8786211	8786913
ENSG00000226545	RP4-633I8.3	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	8858534	8859565	chr1	8798475	8799506
ENSG00000228423	RP4-633I8.4	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	8865919	8867110	chr1	8805860	8807051
ENSG00000229716	RPL23AP19	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	8891066	8891434	chr1	8831007	8831375
ENSG00000074800	ENO1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	1	8921061	8939308	chr1	8861000	8879190
ENSG00000224321	RPL12P14	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	16119291	16119780	chr1	15792796	15793285
ENSG00000233954	UQCRHL	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	16133679	16134194	chr1	15807169	15809348
ENSG00000178715	RP11-169K16.8	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	16154724	16155167	chr1	15828232	15828669
ENSG00000179743	SPEN-AS1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	16160560	16174642	chr1	15834474	15848147
ENSG00000065526	SPEN	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	1	16174359	16266955	chr1	15836095	15940456
ENSG00000270620	RP1-134O19.3	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	16244193	16244403	chr1	15917698	15917908
ENSG00000116809	ZBTB17	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	16268364	16302627	chr1	15941869	15976132
ENSG00000236648	LINC02810	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	18044182	18076473	chr1	17717625	17749978
ENSG00000117148	ACTL8	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	18081808	18153558	chr1	17755333	17827063
ENSG00000117154	IGSF21	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	1	18434240	18704977	chr1	18107798	18378483
ENSG00000060656	PTPRU	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1	29563028	29653325	chr1	29236516	29326813
ENSG00000121753	ADGRB2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	1	32192718	32230494	chr1	31727117	31764893
ENSG00000266580	MIR4254	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	32224261	32224336	chr1	31758660	31758735
ENSG00000254545	RP11-84A19.3	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	32254731	32256923	chr1	31789130	31791322
ENSG00000270241	RP4-657M3.2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	34742460	34742893	chr1	34276859	34277292
ENSG00000116544	DLGAP3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1	35331037	35395186	chr1	34865436	34929650
ENSG00000146463	ZMYM4	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	35734568	35887659	chr1	35268709	35422058
ENSG00000229994	RPL5P4	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	35816323	35817208	chr1	35350722	35351607
ENSG00000264592	RN7SL131P	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	36657516	36657769	chr1	36191915	36192170
ENSG00000230214	FTLP18	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	1	37095936	37096458	chr1	36630335	36630857
